정답,유사답안,문제,출제연도,문제소분류,문제대분류,비고,Status,담당자,마감일
위협(Threat),,조직이나 기업의 자산에 악영향을 끼칠 수 있는 사건이나 행위,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
취약점(Vulnerability),,위협이 발생하기 위한 사전 조건으로 시스템의 정보 보증을 낮추는데 사용되는 약점,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
위험(Risk),,위협이 취약점을 이용하여 조직의 자산 손실 피해를 가져올 가능성을 무엇이라고 하는가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
DoS(Denial of Service),,"( ) 공격이란 특정 서버에게 수많은 접속 시도를 만들어 다른 이용자가 정상적으로 서비스 이용을 하지 못하게 하거나, 서버의 자원을 소진시켜서 원래 의도된 용도로 사용하지 못하게 하는 공격이다.",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
SYN 플러딩(SYN Flooding),,TCP 프로토콜의 구조적인 문제를 이용한 공격으로 서버의 동시 가용 사용자 수를 SYN 패킷만 보내 점유하여 다른 사용자가 서버를 사용 불가능하게 하는 공격은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
UDP 플러딩(UDP Flooding),,대량의 UDP 패킷을 만들어 임의의 포트 번호로 전송하여 응답 메시지(ICMP Destination Unreachable)를 생성하게 하여 지속해서 자원을 고갈시키는 공격,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
죽음의 핑(PoD; Ping of Death),,"ICMP 패킷(Ping)을 정상적인 크기보다 아주 크게 만들어서 전송하면 다수의 IP 단편화가 발생하고, 수신 측에서는 단편화된 패킷을 처리(재조합)하는 과정에서 많은 부하가 발생하거나, 재조합 버퍼의 오버 플로우가 발생하여 정상적인 서비스를 하지 못하도록 하는 공격기법",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
스머핑(Smurfing),,출발지 주소를 공격 대상의 IP로 설정하여 네트워크 전체에게 ICMP Echo 패킷을 직접 브로드캐스팅(Directed Broadcasting)하여 타켓 시스템을 마비시키는 공격은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
티어 드롭(Tear Drop),,"공격자는 IP Fragment Offset 값을 서로 중첩되도록 조작하여 전송하고, 이를 수신한 시스템이 재조합하는 과정에서 오류가 발생. 시스템의 기능을 마비시키는 DoS 공격방식",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
DRDoS(Distruibuted Reflection Dos),,"( ) 공격은 공격자는 출발지 IP를 공격대상 IP로 위조하여 다수의 반사 서버로 요청 정보를 전송, 공격 대상자는 반사 서버로부터 다량의 응답을 받아서 서비스 거부(DoS)가 되는 공격이다.",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
HTTP GET 플러딩(Flooding) 공격,Cache Control Attack 공격,"과도한 Get 메시지를 이용하여 웹 서버의 과부하를 유발시키는 공격으로 HTTP 캐시 옵션을 조작하여 캐싱 서버가 아닌 웹 서버가 직접 처리하도록 유도, 웹 서버 자원을 소진시키는 서비스 거부 공격기법은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
Slowloris(Slow HTTP Header Dos),,"( ) 공격은 HTTP GET 메서드를 사용하여 헤더의 최종 끝을 알리는 개행 문자열인 /r/n/r/n(Hex: 0d 0a 0d 0a)를 전송하지 않고, /r/n(Hex: 0d 0a)만 전송하여 대상 웹 서버와 연결상태를 장시간 지속시키고 연결 자원을 모두 소진시키는 서비스 거부 공격이다.",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
RUDY(Slow HTTP POST DoS),,Content-Length: 9999999 설정 이후 1바이트 씩 전송하여 지속적인 연결 유지를 통해 가용 자원을 소진시키는 공격,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
Slow HTTP Read DoS,,"TCP 윈도 크기와 데이터 처리율을 감소시킨 상태에서 (Zero Window Packet) 다수 HTTP 패킷을 지속적으로 전송하여 대상 웹 서버의 연결 상태가 장시간 지속, 연결자원을 소진시키는 서비스 거부 공격",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
Huk DoS,,공격자가 공격대상 웹 사이트 웹 페이지 주소(URL)를 지속적으로 변경하면서 다량으로 GET 요청을 발생시키는 서비스 거부 공격,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
사전(Dictionary) 크래킹,,시스템 또는 서비스의 ID와 패스워드를 크랙하기 위해서 ID와 패스워드가 될 가능성이 있는 단어를 파일로 만들어 놓고 이 파일의 단어를 대입하여 크랙하는 공격기법,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
무차별(Brute Force) 크래킹,,"패스워드로 사용될 수 있는 영문사(대소문자), 숫자, 특수문자 등을 무작위로 패스워드 자리에 대입하여 패스워드를 알아내는 공격 기법",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
트로이 목마,,악성 루틴이 숨어 있는 프로그램으로 겉보기에는 정상적인 프고그램으로 보이지만 실행하면 악성 코드를 실행하는 프로그램을 무엇이라고 하는가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
버퍼 오버플로우(Buffer Overflow),,메모리에 할당된 버퍼 크기를 초과하는 양의 데이터를 입력하여 이로 인해 프로세스의 흐름을 변경시켜서 악성 코드를 실행시키는 공격기법을 무엇이라고 하는가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
스택쉴드(Stack Shield),,"함수 시작 시 복귀 주소를 Global RET라는 특수 스택에 저장해 두고, 함수 종료 시 저장된 값과 스택의 RET 값을 비교해 다를 경우 오버플로우를 간주하고 프로그램 실행을 중단하는 방식으로 대응",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
스택가드(Stackguard),,"카나리(Canary)라고 불리는 무결성 체크용값을 복귀 주소와 변수 사이에 삽입해 두고, 버퍼 오버플로우 발생 시 카나리 값을 체크, 변할 경우 복귀 주소를 호출하지 않는 방식으로 대응",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
ASLR(Address Space Layout Randomization) 기법,,"버퍼 오버플로우 공격에 대한 대응 방안 중 리눅스에서 설정 가능한 기법으로 메모리 공격을 방어하기 위해 주소 공간 배치를 난수화하고, 실행 시마다 메모리 주소를 변경시켜 버퍼 오버플로우를 통한 특정 주소 호출을 차단하는 기법은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
레이스 컨디션 공격(Race Condition Attack),,둘 이상의 프로세스나 스레드가 공유자원을 동시에 접근할 때 접근 순서에 따라 비정상적인(원하지 않는) 결과가 발생하는 조건/상황에서 실행되는 프로세스가 임시파일을 만드는 경우 악의적인 프로그램을 통해 그 프로세스의 실행 중에 끼어들어 임시파일을 심볼릭 링크하여 악의적인 행위를 수행하게 하는 공격기법,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
키로거 공격(Key Logger Attack),,"컴퓨터 사용자의 키보드 움직임을 탐지해서 저장하고, ID나 패스워드, 계좌 번호, 카드 번호 등과 같은 개인의 중요한 정보를 몰래 빼가는 해킹 공격",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
루트킷(Rootkit),,"시스템 침입 후 침입 사실을 숨긴 채 차후의 침입을 위한 백도어, 트로이 목마 설치, 원격 접근, 내부사용 흔적 삭제, 관리자 권한 획득 등 주로 불법적인 해킹에 사용되는 기능을 제공하는 프로그램의 모음",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
스피어피싱(Spear Phishing),,"사회 공학의 한 기법으로, 특정 대상을 선정한 후 그 대상에게 일반적인 이메일로 위장한 메일을 지속적으로 발송하여, 발송 메일의 본문 링크나 첨부된 파일을 클릭하도록 유도하여 사용자의 개인정보 탈취하는 공격기법은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
APT 공격,,"( )은 특수목적의 조직이 하나의 표적에 대해 다양한 IT 기술을 이용하여, 지속적으로 정보를 수집하고, 취약점을 분석하여 피해를 주는 공격기법이다.",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
공급망 공격(Supply Chain Attack),,소프트웨어 개발사의 네트워크에 침투하여 소스 코드의 수정 등을 통해 악의적인 코드를 삽입하거나 배포 서버에 접근하여 악의적인 파일로 변경하는 방식을 통해 사용자 PC에 소프트웨어를 설치 또는 업데이트 시에 자동적으로 감염되도록 하는 공격을 무엇이라고 하는가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
랜섬웨어(Ransomware),,"악성 코드의 한 종류로 감염된 시스템의 파일들(문서, 사진, 동영상 등)을 암호화하여 복호화할 수 없도록 하고, 피해자로 하여금 암호화된 파일을 인질처럼 잡고 몸값을 요구하는 악성 소프트웨어",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
이블 트윈(Evil Twin) 공격,,무선 Wifi  피싱 기법으로 공격자는 합법적인 Wifi 제공자처럼 행세하며 노트북이나 휴대 전화로 핫스팟에 연결한 무선 사용자들의 정보를 탈취하는 무선 네트워크 공격기법,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
강제적 접근통제(MAC; Mandatory Access Control),,접근통제 유형 중 객체에 포함된 정보의 허용등급과 접근 정보에 대하여 주체가 갖는 접근 허가 권한에 근거하여 객체에 대한 접근을 제한하는 방법은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
벨-라파둘라 모델(BLP; Bell-LaPadula Policy),,"접근통제 보호 모델 중 기밀성을 강조하고, 보안수준이 낮은 주체는 보안 수준이 높은 객체를 읽어서는 안되며, 보안수준이 높은 주체는 보안 수준이 낮은 객체에 기록하면 안 되는 속성을 가지고 있는 모델은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
대칭 키 암호 방식,,암호화와 복호화에 같은 암호 키를 쓰는 알고리즘으로 유형에는 블록 암호화 알고리즘과 스트림 암호화 알고리즘이 있는 암호 방식은?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
MAC(Message Authenication Code),,키를 사용하는 메시지 인증 코드로 메시지의 무결성과 송신자의 인증 보장하는 방식,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
MDC(Modification Detection Code),,키를 사용하지 않는 변경 감지 코드로 메시지의 무결성 보장하는 방식,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
"ARIA(Academy, Research, Institute, Agency)",,"2004년 국가정보원과 산학연구협회가 개발한 블록 암호화 알고리즘으로 블록 크기는 128비트이며, 키 길이에 따라 128비트, 192비트, 256비트로 분류되고, 경량 환경 및 하드웨어에서의 효율성 향상을 위해 개발된 암호화 알고리즘",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
ECC(Elliptic Curve Cryptography),,타원 곡선 암호(ECC)는 유한체 위에서 정의된 타원곡선 군에서의 이산대수의 문제에 기초한 공개키 암호화 알고리즘,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
EIGamal,,"이산대수의 계산이 어려운 문제를 기본 원리로 하고 있으며, RSA와 유사하게 전자서명과 데이터 암,복호화에 함께 사용 가능한 알고리즘",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
Change Cipher Spec Protocol,,협상이 끝난 Cipher Spec을 상대에게 알림,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
Handshake Protocol,,서버와 클라이언트가 서로 인증하고 암호화 키를 협상하는 프로토콜,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
Seven Touch-Points,,실무적으로 검증된 보안 방법론 중 하나로써 SW 보안의 모범 사례를 SDLC(Software Development Life Cycle)에 통합한 소프트웨어 개발 보안 생명주기 방법론은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
MS SDL(Security Development Lifecycle),,마이크로소프트사가 2004년 이후 자사의 소프트웨어 개발에 의무적으로 적용하도록 고안한 보안강화 프레임워크로 개발 중인 제품이 보안 위협에 대해 얼마나 강인한가를 측정하기 위해 동일한 제품에 대해 두 개의 버전으로 테스트하는 모델,기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
OWASP CLASP(=CLASP),,"개념 관점, 역할 기반 관점, 활동평가 관점, 활동구현 관점, 취약점 관점 등의 활동중심, 역할 기반의 프로세스로 구성된 보안 프레임워크로 이미 운영 중인 시스템에 적용하기 쉬운 보안 개발 방법론으로 프로그램 설계나 코딩 오류를 찾아내어 개선하기 위해 개발팀에 취약점 목록을 제공하는 모델이다.",기출 예상 문제,소프트웨어 개발 보안 설계,소프트웨어 개발 보안 구축,,시작 전,,
보안 취약점(Vulnerability),,해킹 등 외부 공격으로 시스템의 보안정책을 침해하는 보안사고의 실제 원인이 되는 시스템상의 보안 허점이다. 운영단계의 보안 리스크이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
보안 약점(Weakness),,"보안 취약점의 근본적인 원인이 되는 SW의 결함, 실수, 버그 등의 오류를 뜻한다. 개발 단계의 보안 리스크이다.",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
직렬화(serialization),,직렬화는 데이터 구조나 오브젝트 상태를 다른 컴퓨터 환경으로 저장하고 재구성할 수 있는 포맷으로 변환하는 과정이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
메서드 기반 테스트,,( )는 메서드에 서로 다른 파라미터 값을 호출하면서 다양한 테스트를 수행하는 방식이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
화면 기반 테스트,,"( )는 사용자용 화면이 있는 경우, 각각의 화면 단위로 단위 모듈을 개발 후에 화면에 직접 데이터를 입력하여 테스트를 수행하는 방식",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
이벤트 배치,,( )는 배치 프로그램의 유형으로 사전에 정의해 둔 조건 충족 시 자동으로 실행한다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
온디맨드 배치,,( )는 배치 프로그램의 유형으로 사용자의 명시적 요구가 있을 때마다 실행된다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
스프링 배치(Spring Batch),,"( )는 스프링 프레임워크의 DI, AOP, 서비스 추상화 등 스프링 프레임워크의 3대 요소를 모두 사용할 수 있는 대용량 처리를 제공하는 스케줄러이다.",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
널 포인터(Null Pointer),,"널(Null)은 값이 없음을 의미하며, 포인터(Pointer)는 메모리의 위치를 가리키는 요소로서 ( )는 포인터에 널이 저장되어 어떠한 곳도 가리키지 못하는 상태의 요소이다.",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
디버깅(Debugging),,컴퓨터 프로그램이나 시스템의 정확성 또는 논리적인 오류(버그)를 검출하여 제거하는 과정이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
스팸(Spam),,이메일이나 휴대폰 등 정보통신 서비스를 이용하는 이용자에게 본인이 원치않음에도 불구하고 일방적으로 전송되는 영리목적의 광고성 정보를 말한다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
모델 채킹(Model Checking) 도구,,정형 언어(소프트웨어와 하드웨어 시스템의 검증을 위한 수학적 기반 기술)로 명세된 모델을 검증하고자 하는 특성을 만족하는지 입증하는 기법이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
Cron 표현식,,( )은 스케줄러를 실행시키기 위해 작업이 실행되는 시간 및 주기 등을 설정하기 위한 표현식이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
사이트 간 요청 위조(CSRF; Cross-Site Request Forgery),,보안 공격기법 중 사용자가 자신의 의지와는 무관하게 공격자가 의도한 행위를 특정 웹사이트에 요청하게 하는 공격기법은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
Stored XSS,,방문자들이 악성 스크립트가 포함된 페이지를 읽어 봄과 동시에 악성 스크립트가 브라우저에서 실행되면서 감염되는 기법,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
Reflected XSS,,공격용 악성 URL을 생성한 후 이메일로 사용자에게 전송하면 사용자가 URL 클릭 시 즉시 공격 스크립트가 피해자로 반사되어 접속 사이트에 민감정보를 공격자에게 전송하는 기법,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
Mass SQL Injection,,기존 SQL Injection의 확장된 개념으로 한 번의 공격으로 대량의 DB 값이 변조되어 홈페이지에 치명적인 영향을 미치는 공격기법,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
Blind SQL Injection,,DB 쿼리에 대한 오류 메시지를 반환하지 않으면 공격을 할 수 없는 Error-Based SQL Injection과 달리 오류 메시지가 아닌 쿼리 결과의 참과 거짓을 통해 의도하지 않은 SQL문을 실행함으로써 데이터베이스를 비정상적으로 공격하는 기법,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
캡슐화 취약점,,"보안 점검 내용 중 ( )으로 발생할 수 있는 보안 약점으로는 잘못된 세션에 의한 데이터 정보 노출, 제거되지 않고 남은 디버그 코드, 민감한 데이터를 가진 내부 클래스 사용, 시스템 데이터 정보 노출 등이 있다.",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
코드 오류 취약점,,"보안 점검 내용 중 널 포인터 역참조, 정수를 문자로 변환, 부적절한 자원 해제, 초기화 되지 않은 변수 사용으로 발생할 수 있는 보안 취약점은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
last,,"사용자 로그인/로그아웃 정보, 시스템 shutdown/reboot 정보를 확인할 수 있는 wtmp 로그의 내용을 확인할 수 있는 명령어",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
utmp,,"현재 시스템에 로그인한 사용자 정보를 확인할 수 있는 로그로 who, w, users, finger 명령어를 통해서 확인할 수 있음",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
btmp,,로그인에 실패한 정보를 저장하고 있는 리눅스 로그 파일명은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
침입 탐지 시스템(IDS; Intrusion Detection System),,네트워크에서 발생하는 이벤트를 모니터링하고 비인가 사용자에 의한 자원접근과 보안정책 위반 행위(침입)을 실시간으로 탐지하는 시스템,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
네트워크 접근 제어(NAC; Network Access Control),,단말기가 내부 네트워크에 접속을 시도할 때 이를 제어하고 통제하는 기능을 제공하는 솔루션으로 바이러스나 웜 등의 보안 위협뿐만 아니라 불법 사용자에 대한 네트워크 제어 및 통제 기능을 수행하는 장비를 무엇이라고 하는가?,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
가상사설망(VPN; Virtual Private Network),,"( )은 인터넷과 같은 공중망에 인증, 암호화, 터널링 기술을 활용하여 마치 전용망을 사용하는 효과를 가지는 보안 솔루션이다.",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
보안 운영체제(Secure OS),,운영체제에 내재된 결함으로 인해 발생할 수 있는 각종 해킹으로부터 시스템을 보호하기 위해 보안 기능이 통합된 보안 커널을 추가한 운영체제,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
데이터 유출 방지(DLP; Data Loss Prevention),,"조직 내부의 중요 자료가 외부로 빠져나가는 것을 탐지하고 차단하고, 정보 유출 방지를 위해 정보의 흐름에 대한 모니터링과 실시간 차단 기능을 제공하는 솔루션은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
RTO(Recovery Time Objective),,업무중단 시점부터 업무가 복구되어 다시 가동될 떄까지의 시간으로 재해시 복구 목표 시간의 선정에 활용,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
RPO(Recovery Point Objective),,업무중단 시점부터 데이터가 복구되어 다시 정상가동될 떄 데이터의 손실 허용 시점으로 재해 시 복구 목표 지점의 선정에 활용,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
BIA(Business Impact Analysis),,비즈니스에서 재난 및 재해로 인해 운영상의 주요 손실을 볼 것을 가정하여 시간 흐름에 따른 영향도 및 손실평가를 조사하는 비즈니스 영향 분석,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
Warm Site,,Hot Site와 유사하나 재해복구센터에 주 센터와 동일한 수준의 자원을 보유하는 대신 중요성이 높은 자원만 부분적으로 재해복구센터에 보유하고 있는 센터로 데이터 백업 주기가 수 시간 ~ 1일이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
드라이브 바이 다운로드(Drive By Download),,"악의적인 해커가 불특정 웹 서버와 웹 페이지에 악성 스크립트를 설치하고, 불특정 사용자 접속 시 사용자 동의 없이 실행되어 의도된 서버(멀웨어 서버)로 연결하여 감염시키는 공격기법은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
하트 블리드(HeartBleed),,OpenSSL 암호화 라이브러리의 하트비트(Heartbeat)라는 확장 모듈에서 클라이언트 요청 메시지를 처리할 때 데이터 길이에 대한 검증을 수행하지 않는 취약점을 이용하여 시스템 메모리에 저장된 64KB 크기의 데이터를 외부에서 아무런 제한 없이 탈취할 수 있도록 하는 취약점은 무엇인가?,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
스턱스넷 공격(Stuxnet),,"독일 지멘스사의 SCADIA 시스템을 공격 목표로 제작된 악성코드로 원자력, 전기, 철강, 반도체, 화학 등 주요 산업 기반 시설의 제어 시스템에 침투해서 오작동을 일으키는 악성코드 공격은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
CVE(Common Vulnerabilities and Exposures),,보안 관련 용어 중 ( )는 미국 비 영리회사인 MITRE 사에서 공개적으로 알려진 소프트웨어의 보안취약점을 표준화한 식별자 목록이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
TFN(Trive Flood Network),,"( )은 많은 소스에서 하나 혹은 여러 개의 목표 시스템에 대해 서비스 거부 공격을 수행할 수 있는 도구로 공격자가 공격 명령을 일련의 ( ) 서버들(혹은 데몬들)에게 보냄으로써 이루어지고, UDP flood 공격뿐만 아니라 TCP SYN flood 공격, ICMP echo 요청 공격, ICMP 브로드캐스트 공격(Smurf 공격)의 수행이 가능한 도구이다.",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
ICMP Redirect,,3계층에서 스니핑 시스템을 네트워크에 존재하는 또 다른 라우터라고 알림으로써 패킷의 흐름을 바꾸는 공격으로 특정 목적지로 가는 패킷을 공격자가 스니핑하는 기법이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
비바 모델(BIBA),,"접근통제 보호 모델 중 무결성을 보장하고, 높은 등급의 주체는 낮은 등급의 객체를 읽을 수 없고, 낮은 등급의 주체는 상위 등급의 객체를 수정할 수 없는 속성을 가지고 있는 모델은 무엇인가?",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
워터링 홀(Watering Hole),,( )은 특정인에 대한 표적 공격을 목적으로 특정인이 잘 방문하는 웹 사이트에 악성코드를 심거나 악성코드를 배포하는 URL로 자동으로 유인하여 감염시키는 공격기법이다.,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
토르 네트워크(Tor Network),,"네트워크 경로를 알 수 없도록 암호화 기법을 사용하여 데이터를 전송하며, 익먕으로 인터넷을 사용할 수 있는 가상 네트워크를 무엇이라고 하는가?",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
디렉토리(Directory Listing) 취약점,,"웹 애플리케이션을 사용하고 있는 서버의 미흡한 설정으로 인해 인덱싱 기능이 활성화되어 있을 경우, 공격자가 강제 브라우징을 통해서 서버 내의 모든 디렉토리 및 파일 목록을 볼 수 있는 취약점",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
부 채널 공격(Side Channel Attack),,"암호화 알고리즘의 실행 시기의 전력 소비, 전자기파 방사 등의 물리적 특성을 측정하여 암호 키 등 내부 비밀 정보를 획득하는 공격기법",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
핑거 프린팅(Finger Printing),,멀티미디어 콘텐츠에 저작권 정보와 구매한 사용자 정보를 삽입하여 콘텐츠 불법 배포자에 대한 위치 추적이 가능한 기술(저작권 정보구매자 정보)을 무엇이라고 하는가?,기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
CWE(Common Weakness Enumeration),,"미국 비영리 회사인 MITRE 사가 중심이 되어 소프트웨어에서 공통적으로 발생하는 약점을 체계적으로 분류한 목록으로, 소스 코드 취약점을 정의한 데이터베이스
소프트웨어 약점은 SDLC 과정에서 발생할 수 있기 떄문에 설계, 아키텍처, 코드 단계 등에 대한 취약점 목록을 포함",기출 예상 문제,소프트웨어 개발 보안 구현,소프트웨어 개발 보안 구축,,시작 전,,
기밀성(Confidentiality),,( )은 인가되지 않은 개인 혹은 시스템 접근에 따른 정보 공개 및 노출을 차단하는 특성이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
