정답,문제,유사답안,출제연도,문제소분류,문제대분류,비고
클리어링 하우스,( )는 저작권 관리에서 키 관리 및 라이선스 발급 관리를 수행한다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
PKI,"( )는 공개키 암호 방식 기반으로 디지털 인증서를 활용하는 소프트웨어, 하드웨어, 사용자, 정책 및 제도 등을 총칭하는 암호 기술이다.",,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
DOI,( )는 디지털 저작물에 특정한 번호를 부여하는 일종의 바코드 시스템으로 디지털 저작물의 저작권 보호 및 정확한 위치 추적이 가능한 시스템이다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
XrML,( )은 디지털 콘텐츠/웹 서비스 권리 조건을 표현한 XML 기반의 마크업 언어이다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
MPEG-21,( )은 멀티미디어 관련 요소 기술들이 통일된 형태로 상호 운용성을 보장하는 멀티미디어 표준 규격이다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
CMS,"( )는 다양한 미디어 포맷에 따라 각종 콘텐츠를 작성, 수집, 관리, 배급하는 콘텐츠 생산에서 활용, 폐기까지 전 공급 과정을 관리하는 기술이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
코드 난독화,( )는 역공학을 통한 공격을 막기 위해 프로그램의 소스 코드를 알아보기 힘든 형태로 바꾸는 기술이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
Secure DB,"( )는 커널 암호화 방식으로 데이터베이스 파일을 직접 암호화하고, 접근 제어와 감사 기록 기능이 추가된 데이터베이스 보안강화 기술이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
SSO,( )는 한 번의 시스템 인증을 통하여 여러 정보시스템에 재인증 절차 없이 접근할 수 있는 통합 로그인 기술이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
제품 소프트웨어 메뉴얼,( )는 제품 소프트웨어 개발단계부터 적용한 기준이나 패키징 이후 설치 및 사용자 측면의 주요 내용 등을 기록한 문서이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
제품 소프트웨어 설치 매뉴얼,( )은 사용자가 제품을 구매한 후 최초 설치 시 참조하는 메뉴얼이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
제품 소프트웨어 배포본,( )은 개발된 컴포넌트 또는 패키지에 대해 제품화하고 배포 정보를 포함한 문서이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
백업,"( )은 소스 및 자료에 대해 천재지변이나 해킹, 소프트웨어 버그 및 오동작 등으로 인한 각종 재해에 대비해 시스템을 회복 가능한 상태로 만들기 위해 준비하는 작업이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
백업 정책,"버전 관리 도구를 활용, 제품 소프트웨어 백업은 내부의 정확한 ( )을 먼저 세워야 하고, 상세 백업 방법을 공유해야 한다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
헤더,"( )는 릴리즈 노트 작성 항목 중 문서 이름(릴리스 노트 이름), 제품 이름, 버전 번호, 릴리즈 날짜, 참고 날짜, 노트 버전 등의 정보이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
재현 항목,( )은 릴리즈 노트 작성 항목 중 버그 발견에 따른 재현 단계 기술이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
사용자 영향도,( )는 릴리즈 노트 작성 항목 중 버전 변경에 따른 최종 사용자 기준의 기능 및 응용 프로그램상의 영향도 기술이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
노트,"( )는 릴리즈 노트 작성 항목 중 소프트웨어 및 하드웨어 설치 항목, 제품, 문서를 포함한 업그레이드 항목 메모이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
소프트웨어 아키텍처,소프트웨어 아키텍처는 여러 가지 소프트웨어 구성요소와 그 구성요소가 가진 특성 중에서 외부에 드러나는 특성. 그리고 구성요소 간의 관계를 표현하는 시스템의 구조나 구조체이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
프로세스 뷰(Process View),"4+1 뷰 중 다음 설명에 해당하는 뷰가 무엇인지 쓰시오.
- 시스템의 비기능적인 속성으로서 자원의 효율적인 사용 병행 실행 비동기. 이벤트 처리 등을 표현한 뷰
- 개발자. 시스템 통합자 관점",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
계층화 패턴(Layered Pattern),시스템을 계층(Layer)으로 구분하여 구성하는 패턴으로 서로 마주 보는 두 개의 계층 사이에서만 상호 작용이 이루어지는 패턴은 무엇인가?,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
MVC 패턴,"대화형 애플리케이션을 모델, 뷰, 컨트롤러 3개의 서브 시스템으로 구조화하는 패턴이다",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
디자인 패턴,소프트웨어 공학의 소프트웨어 설계에서 공통으로 발생하는 문제에 대해 자주 쓰이는 설계 방법을 정리한 패턴이다,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
싱글톤(Singleton) 패턴,"전역 변수를 사용하지 않고 객체를 하나만 생성하도록하며, 생성된 객체를 어디에서든지 참조할 수 있도록하고, 한 클래스에 한 객체만 존재하도록 제한하는 디자인패턴은무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
팩토리 메서드(Factory Method) 패턴,"상위 클래스에서 객체를 생성하는 인터페이스를 정의하고, 하위 클래스에서 인스턴스를 생성하도록 하는 방식으로, 상위 클래스에서는 인스턴스를 만드는 방법만 결정하고, 하위 클래스에서 그 데이터의 생성을 책임지고 조작하는 함수들을 오버라이딩하여 인터페이스와 실제 객체를 생성하는 클래스를 분리할 수 있는 특성을 갖는 디자인 패턴은 무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
전략(Strategy) 패턴,"알고리즘 군을 정의하고(추상 클래스) 같은 알고리즘을 각각 하나의 클래스로 캡슐화한 다음, 필요할 때 서로 교환해서 사용할 수 있게 하는 패턴으로, 행위를 클래스로 캡슐화해 동적으로 행위를 자유롭게 바꿀 수 있게 해주는 디자인 패턴은 무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
템플릿(Template) 패턴,"어떤 작업을 처리하는 일부분을 서브 클래스로 캡슐화해 전체 일을 수행하는 구조는 바꾸지 않으면서 특정단계에서 수행하는 내역을 바꾸는 패턴으로 일반적으로 상위 클래스(추상 클래스)에는 추상 메서드를 통해 기능의 골격을 제공하고, 하위 클래스(구체 클래스)의 메서드에는 세부 처리를 구체화하는 방식으로 사용하며 코드 양을 줄이고 유지보수를 용이하게 만드는 특징을 갖는 디자인 패턴은 무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
Adapter,"다음 설명에 해당하는 디자인 패턴을 쓰시오.
- 기존에 생성된 클래스를 재사용할 수 도록 중간에서 맞춰주는 역할을 하는 인터페이스를 만드는 패턴으로. 상속을 이용하는 클래스 패턴과 위임을 이용하는 인스턴스 패턴의 두 가지 형태로 사용되는 디자인 패턴
- 인터페이스가 호환되지 않는 클래스들을 함께 이용할 수 있도록 타 클래스의 인터페이스를 기존 인터페이스에 덧씌움",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
행위 패턴,"Template Method, State, Observer 패턴이 포함된 디자인 패턴의 종류는 무엇인지 쓰시오.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
URl(Uniform Resource Identifier),( )은 식별 기술 중 인터넷에 있는 자원을 나타내는 유일한 주소이다.,,기출 예상 문제,요구사항 확인,요구사항 확인,
전자서명,"( )은 서명자를 확인하고 서명자가 당해 전자문서에 서명했다는 사실을 나타내가 위
해 특정 전자문서에 첨부되거나 논리적으로 결합된 전자적 형태의 정보이다.",,기출 예상 문제,요구사항 확인,요구사항 확인,
XML(eXtensible Markup Language),( )은 다른 특수한 목적을 갖는 마크업 언어를 만드는 데 사용하도록 권장하는 다목적 언어이다.,,기출 예상 문제,요구사항 확인,요구사항 확인,
Secure,( )는 커널 암호화 방식으로 데이터베이스 파일을 직접 암호화하고. 접근 제어와 감사 기록 가능이 추가된 데이터베이스 보안 강화 기술이다.,,기출 예상 문제,요구사항 확인,요구사항 확인,
SSO(Sin-gle Sign On),( )는 한 번의 시스템 인증을 통하여 여러 정보 시스템에 재인증 절차 없이 접근할 수 있는 통합 로그인 기술이다.,,기출 예상 문제,요구사항 확인,요구사항 확인,
 요구 공학,"사용자의 요구가 반영된 시스템을 개발하기 위하여 사용자 요구사항에 대한 도출, 분석, 명세, 확인 및 검증하는 구조화된 활동이다",,기출 예상 문제,요구사항 확인,요구사항 확인,
요구사항 도출,"요구사항 개발 단계 중에서 소프트웨어가 해결해야 할 문제를 이해하고, 고객으로부터 제시되는 추상적 요구에 대해 관련 정보를 식별하고, 수집 방법 결정, 수집된 요구사항을 구체적으로 표현하는 단계는 무엇인가?",,기출 예상 문제,요구사항 확인,요구사항 확인,
브레인스토밍(Brainstorming),"말을 꺼내기 쉬운 분위기로 만들어 , 회의 참석자들이 내놓은 아이디어들을 비판 없이 수용할 수 있도록 하는 회의는 무엇인가?",,기출 예상 문제,요구사항 확인,요구사항 확인,
비정형 명세 기법,요구사항 명세 단계에서 사용자의 요구를 표현할 때 자연어를 기반으로 서술하는 기법은 무엇인가?,,기출 예상 문제,요구사항 확인,요구사항 확인,
요구사항 명세서,소프트웨어 개발 프로세스의 시작인 소프트웨어의 요구사항을 분석하고 정의하는 단계에서 작성되는 최종 산출물은무엇인가?,,기출 예상 문제,요구사항 확인,요구사항 확인,
인스펙션,"소프트웨어 요구, 설계, 원시 코드 등의 저작자 외의 다른 전문가 또는 팀이 검사하여 문제를 식별하고 문제에 대한 올바른 해결을 찾아내는 형식적인 검토 기법은 무엇인가?",,기출 예상 문제,요구사항 확인,요구사항 확인,
형상통제 위원회 (Configuration Control Board),형상 관리에 대한 주요 방침을 정하고 산출물을 검토하며. 단계별 의사결정을 수행하는 조직이다,,기출 예상 문제,요구사항 확인,요구사항 확인,
액터(Actor),"시스템의 외부에 있고, 시스템과 상호 작용을 하는 사람 또는 시스템이다.",,기출 예상 문제,분석 모델 확인하기,요구사항 확인,
유스케이스 (Usecase),"시스템이 액터에게 제공해야 하는 기능으로 시스템 요구사항이자, 사용자 입장에서 바라본 시스템의 기능이다.",,기출 예상 문제,분석 모델 확인하기,요구사항 확인,
분석 자동화 도구,"요구사항을 자동으로 분석하고, 요구사항 분석 명세서를 기술하도록 개발된 요구사항 분석을 위한 자동화 도구이다.",,기출 예상 문제,분석 모델 확인하기,요구사항 확인,
컴포넌트(Component),원하는 데이터베이스와 소프트웨어의 개발된 모듈 단위이다,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
델파이 기법(Delphi Method),전문가의 경험적 지식을 통한 문제 해결 및 미래예측을 위한 기법으로 전문가 합의법이라고도한다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
"주 공정(Critical -
Path; 임계 경로)",프로젝트의 시작에서 종료까지 가장 긴 시간이 걸리는 경로이다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
X.25,패킷 교환망에서 회선 종단 장치와 데이터 단말 장치 사이에 이루어지는 상호 작용을 규정한프로토콜이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"IPS(lntrusion Prevention
System, 칩입 차단 시스템)","네트워크에 대한 공격이나 침입을 실시간적으로 차단하고, 유해트래픽에 대한 조치를 능동적으로 처리하는 시스템이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
라우터(Router),"OSI 계층에서 사용하는 네트워크 장비로 스위치를 서로 연결하여 네트워크 간 비용 소모가 최적화된 라우팅 경로를 설정하고 ,결정된 경로를 따라 트래픽을 전달하는 역할을 하는 장비이다",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
프로세스(Process),운영체제가 관리하는 실행단위로 프로세서에 의해 처리되는 PCB를 가진 시스템 프로그램이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
컴파일 타임(Compile Time),"소스 코드를 작성하고 컴파일이라는 과정을 통해 기계어 코드로 변환되어, 실행 가능한 프로
그램이 되는 과정이다(정적 메모리 할당수행).",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
런타임(Run Time),"파일 컴파일 과정율 마친 프로그램은 사용자에 의해 실행되며, 이러한 응용 프로그램이 동작되는 과정이다(동적 메모리 할당).",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
인터페이스 (Interface),관련이 없는 것들이 서로 연결되기 위한 디바이스나 시스템을 의미한다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
시스템 아키텍처(System Architecture),"시스템 목적을 달성하기 위해서 시스템 각 컴포넌트가 무엇이며 어떻게 상호 작용하는지, 정보가 어떻게 교환되는지를 설명하는 뼈대구조이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
프레임워크 (Framework),소프트웨어의 구체적인 부분에 해당하는 설계와 구현을 재사용이 가능하게끔 클래스들을 제공하는 틀이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
프로토콜(Protocol),서로 다른 시스템에 있는 두 개 간의 데이터 교환을 원활히 하기 위한 일련의 통신규약이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
배치 작업(Batch Job),실시간 작업의 반대 개념으로 일련의 작업을 하나의 작업 단위로 묶어서 일괄로 처리하는 작업이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
백본망(Backbone Network),"다양한 네트워크를 상호 연결하는 컴퓨터 네트워크의 일부로서, 각기 다른 LAN이나 부분망 간에 정보를 교환하기 위한 경로를 제공하는망이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
라우터(Router),3계층 데이터 패킷을 발신지에서 목적지까지 전달하기 위해 최적의 경로를 지정하고. 이 경로를 따라 데이터 패킷을 다음 장치로 전달하는 네트워크 장비이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
스위치(Switch),"2계층 장비로서, 동일 네트워크 내에서 출발지에 들어온 데이터 프레임을 목적지 MAC 주소 기반으로 빠르게 전달하는 네트워크 장비이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
게이트웨이(Gateway),"컴퓨터 네트워크에서 서로 다른 통신망, 프로토콜을 사용하는 네트워크 간의 통신을 가능하게 하는 네트워크 장비이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
방화벽(Firewall),외부로부터 불법 침입과 내부의 불법 정보 유출을 방지하고. 내/외부 네트워크의 상호간 영향을 차단하기 위한 보안 시스템이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
JDBC(Java Database Connectivity),자바(Java)에서 데이터 베이스를 사용할 수 있도록 연결해주는 응용 프로그램 인터페이스이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"ODBC(Open Database
Connectivity)",데이터베이스를 액세스하기 위한 표준 개방형 응용 프로그램 인터페이스이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
가비지 컬렉션(GC; Garbage Collection),메모리 관리 기법의 하나로. 프로그램이 동적으로 할당했던 메모리 영역 증에서 필요 없게 된 영역을 해제하는 기능이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
오픈소스(Open Source),"소스 코드를 공개해 소프트웨어 혹은 하드웨어 제작자의 권리를 지키면서 원시 소스 코드를 누구나 열람,사용할 수 있도록 한 오픈 소스 라이선스를 만족하는 소프트웨어이다 .",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"총 소유 비용(TCO; Total Cost
of Ownership)",기업이 시간 경과에 따라 지불해야 하는 컴퓨팅 비용을 통합적 관점에서 직접 비용뿐 아니라 이와 관련된 숨겨진 비용까지 포함하여 파악하는 기법이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
고가용성(HA; High Availability),서버와 네트워크. 프로그램 등의 정보시스템이 시스템의 장애에 대응하여 상당히 오랜 기간 동안 지속적으로 정상 운영이 가능한 성질이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
트랜잭션(Transaction),데이터베이스 시스템에서 하나의 논리적 기능을 정상적으로 수행하기 위한 작업의 기본 단위이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
인터랙션(Interaction),입출력장치를 매개로 디지털 시스템과 사람이 주고받는 일련의 의사소통 과정이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"데이터 흐름도(DFD; Data Flow
Diagram)","데이터 흐름도는 데이터가 각 프로세스를 따라 흐르면서 변환되는 모습을 나타낸 그림으로, 시스템 분석과 설계에서 매우 유용하게 사용되는 다이어그램이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
자료 사전(DD; Data Dictionary),"자료 사전은 자료 요소, 자료 요소들의 집합, 자료의 흐름, 자료 저장소의 의미와 그들 간의 관계, 관계 값, 범위, 단위들을 구체적으로 명시하는 사전이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"UML(Unified Modeling
Language)","객체 지향 소프트웨어 개발 과정에서 산출물을 명세화, 시각화, 문서화할 시 사용되는 모델링 기술과 방법론을 통합해 만든 표준화된 범용 모델링 언어이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"요구사항 명세서(Requirement
Specification; 요구사항 정의서)",소프트웨어 개발 프로세스의 시작인 소프트웨어의 요구사항을 분석하고 정의하는 단계에서 작성되는 최종 산출물이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
형상관리,소프트웨어 생명주기 동안 발생하는 변경사항을 체계적으로 관리하여 소프트웨어의 품질보증을 항상시키는 관리적 활동이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"형상통제위원회
(CCB; Configuration Control
Board)","형상 관리에 대한 주요 방침을 정하고 산출물을 검토하며, 단계별 의사결정을 수행하는 조직이다.",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
상호 운용성(Interoperability),다른 목적을 지닌 2개 이상 시스템들이 상호 간 정보 및 서비스를 교환하면서 효과적으로 운용될 수 있는 시스템의 능력이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
소프트웨어 생명주기(SDLC),시스템의 요구분석부터 유지보수까지 전 공정을 체계화한 절차이다.,,기출 예상 문제,소프트웨어 생명주기,요구사항 확인,
유지보수 단계,시스템이 인수되고 설치된 후 일어나는 모든 활동 단계는 무엇인가?,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
나선형 모델(Spiral Model),시스템 개발 시 위험을 최소화하기 위해 점진적으로 완벽한 시스템으로 개발해 나가는 모델은 무엇인가?,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
정보공학 방법론,정보 시스템 개발에 필요한 관리 절차와 작업 기법을 체계화한 방법론은 무엇인가?,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
짝 프로그래밍(Pair Programming),개발자 둘이서 짝으로 코딩하는 원리이다.,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
메타포어(Metaphor),XP 12 가지 가치 중 공통적인 이름 체계와 시스템 서술서를 통해 고객과 개발자 간의 의사소통을 원활하게 한다는 원리는 무엇인가?,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
린 방법론,도요타의 시스템 품질기법을 소프트웨어 개발 프로세스에 적용해서 낭비 요소를 제거하여 품질을 항상시킨 방법론은무엇인가?,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
Man Month,한 사람이 1개월 동안 할 수 있는 일의 양을 기준으로 프로젝트 비용을 산정하는 방식,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
주 공정법(CPM),여러 작업들의 수행 순서가 얽혀 있는 프로젝트의 일정을 계산하는 기법은 무엇인가?,,기출 예상 문제,소프트웨어 개발 방법론,요구사항 확인,
소프트웨어 아키텍처 프레임워크,소프트웨어 집약적인 시스템에서 아키텍처가 표현해야 하는 내용 및 이들 간의 관계를 제공하는 아키텍처 기술표준은무엇인가?,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
논리 뷰(Logical View),"4+1 뷰 중 다음 설명에 해당하는 뷰가 무엇인지 쓰시오.
- 시스템의 기능적인 요구사항이 어떻게 제공되는지 설명해주는 뷰
- 설계자, 개발자 관점",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"소프트웨어 아키텍처 패턴(Software Architecture
Pattern)",소프트웨어를 설계할 때 참조할 수 있는 전형적인 해결 방식이다.,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
"파이프-필터 패턴
(Pipe-Filler Pattern)",데이터 스트림을 생성하고 처리하는 시스템에서 사용 가능한 패턴은 무엇인가?,,기출 예상 문제,현행 시스템 분석,요구사항 확인,
SAAM,"변경 용이성과 기능성에 집중 , 평가가 용이하여 경험이 없는 조직에서도 활용 가능한 비용 평가 모델은 무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
빌더(Builder) 패턴,"복잡한 인스턴스를 조립하여 만드는 구조로, 복합 객체를 생성할 때 객체를 생성하는 방법(과정)과 객체를 구현(표현)하는 방법을 분리함으로써 동일한 생성 절차에서 서로 다른 표현 결과를 만들 수 있는 디자인 패턴은 무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
팩토리 메서드(Factory Method) 패턴,"상위 클래스에서 객체를 생성하는 인터페이스를 정의하고, 하위 클래스에서 인스턴스를 생성하도록 하는 방식으로, 상위 클래스에서는 인스턴스를 만드는 방법만 결정하고, 하위 클래스에서 그 데이터의 생성을 책임지고 조작하는 함수들을 오버라이딩하여 인터페이스와 실제 객체를 생성하는 클래스를 분리할 수 있는 특성을 갖는 디자인 패턴은 무엇인가?",,기출 예상 문제,현행 시스템 분석,요구사항 확인,
요구공학,"사용자의 요구가 반영된 시스템을 개발하기 위하여 사용자 요구사항에 대한 도출, 분석, 명세, 확인 및 검증하는 구조화된 활동은 무엇인가?",,기출 예상 문제,요구사항 확인,요구사항 확인,
롤 플레잉(Role Playing),현실에 일어나는 장면을 설정하고 여러 사람이 각자가 맡은 역을 연기함으로써 요구 사항을 분석하고 수집하는 방법은무엇인가?,,기출 예상 문제,요구사항 확인,요구사항 확인,
인터뷰(lnterview),"이해관계자와 직접 대화를 통해 정보를 구하는 공식적, 비공식적 정보 수집 방법은 무엇인가?",,기출 예상 문제,요구사항 확인,요구사항 확인,
정형 명세 기법,요구사항 명세 단계에서 사용자의 요구를 표현할 때 수학적인 원리와 표기법으로 서술하는 기법은 무엇인가?,,기출 예상 문제,요구사항 확인,요구사항 확인,
워크스루,"검토 자료를 회의 전에 배포해서 사전 검토한 후 짧은 시간 동안 회의를 진행하는 형태로 리뷰를 통해 문제 식별, 대안 조사, 개선 활동, 학습 기회를 제공하는 가장 비형식적인 검토 기법은 무엇인가?",,기출 예상 문제,요구사항 확인,요구사항 확인,
"UX(User Experience; 사용자
경험)",제품과 시스템 서비스 등을 사용자가 직/간접적으로 경험하면서 느끼고 생각하는 총체적 경험을 의미한다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
소프트웨어 생명주기(SDLC),( )은 시스템의 요구분석부터 유지보수까지 전 공정을 체계화한절차이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
폭포수 모델,"( )은 소프트웨어 개발 각 단계를 확실히 마무리 지은 후에 다음 단계로 넘어가는
가장 오래된 생명주기 모델이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
나선형 모델,( )는 시스템 개발 시 위험을 최소화하기 위해 점진적으로 완벽한 시스템으로 개발해 나가는 모델이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
소프트웨어 개발 방법론,"( )은 소프트웨어 개발 전 과정에 지속적으로 적용할 수 있는 방법, 절차, 기법이다",,기출 예상 문제,UI 요구사항 확인,화면 설계,
구조적 방법론,"( )은 전체 시스템을 기능에 따라 나누어 개발하고, 이를 통합하는 분할과 정복 접근방식을 사용하는 방법론이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
나씨-슈나이더만 차트,"( )는 구조적 프로그래밍 표현을 위해 논리의 기술에 중점을 둔 도형식 표현 방법으로 연속, 선택, 반복 등의 제어 논리구조로 표현한다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
애자일 방법론,( )은 절차보다는 사람이 중심이 되어 변화에 유연하고 신속하게 적응하면서 효율적으로 시스템을 개발할 수 있는 신속 적응적 경량 개발 방법론이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
XP,( )는 의사소통 개선과 즉각적 피드백으로 소프트웨어 품질을 높이기 위한 방법론으로 5가지 가치와 12개의 실천항목이 존재한다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
CRUD 방식,"대부분의 컴퓨터 소프트웨어가 가지는 기본적인 데이터 처리 기능인 Create(생성), Read(읽기), Update(갱신), Delete(삭제)를 묶어서 일컫는 말이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
지속적인 통합(Cl),( )는 매일 여러 번씩 소프트웨어를 통합하고 빌드해야 한다는 원리이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
리팩토링,"( )는 프로그램의 기능 바꾸지 않으면서 중복제거, 단순화 등을 위해 시스템 재구성한다는 원리이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
스크럼,"( )은 애자일 방법론 중 매일 정해진 시간, 장소에서 짧은 시간의 개발을 하는 팀을 위한 프로젝트 관리 중심 방법론이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
스프린트,( )는 스크럼 방법론에서 2~4주의 짧은 개발 기간으로 반복적 수행으로 개발품질을 향상시키는 프로젝트 수행법이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
번 다운 차트,( )는 스크럼 방법론에서 남아있는 백로그 대비 시간을 그래픽적으로 표현한 차트이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
LoC 모형,"( ) 소프트웨어 각 기능의 원시 코드 라인 수의 낙관치, 중간치, 비관치를 측정하여 예측치를 구하고 이를 이용하여 비용을 산정하는 방식이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
COCOMO 모형,"( )은 보헴(Boehm)이 제안한 모형으로 프로그램 규모에 따라 비용을 산정하는 방식으로, 규모에 따라 유형이 조직형, 반 분리형, 임베디드형으로 나뉜다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
푸트남 모형,"( ) 소프트웨어 개발 주기의 단계별로 요구할 인력의 분포를 가정하는 방식으로, 시간에 따른 함수로 표현되는 Rayleigh-Norden 곡선의 노력 분포도를 기초로 한다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
리치 클라이언트(Rich Client),"SW의 실행을 클라이언트에서 책임지는 기술로 서버는 클라이언트에서 요청한 SW의 실행 코드를 스트림 형태로 제공하고, 클라이언트는 서버로부터 스트리밍되는 SW 코드를 클라이언트 PC의 자원을 이용하여 실행하는 기술이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
씬 클라이언트(Thin Client),소프트웨어의 실행을 전적으로 서버에서 책임지는 기술로 서버에서 가상 머신을 이용하여 클라이언트의 데이터와 소프트웨어를 관리 및 실행하는 기술이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
SSO(Single Sign On),한 번의 로그인을 통해 여러 다른 사이트들을 자동적으로 접속하여 이용하는 방법이다.,,기출 예상 문제,UI 요구사항 확인,화면 설계,
기능 점수 모형(FP 모형),"( )은 요구 기능을 증가시키는 인자별로 가중치를 부여하고, 요인별 가중치를 합산하여 총 기능의 점수를 계산하여 비용을 산정하는 방식이다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
주 공정법,"( )은 일정관리 모델 중에서 여러 작업의 수행 순서가 얽혀 있는 프로젝트의 일정을 계산하는 기법이며, 모든 자원 제약사항을 배제한 상태로 프로젝트의 시작과 끝을 나타내는 노드(Node) 와 노드 간을 연결을 통해 공정을 계산하기 위한 액티비티(Activity)로 표기한다.",,기출 예상 문제,UI 요구사항 확인,화면 설계,
